Local en calle de Claudio Coello, Castellana, Madrid;1.150.000;268;910 756 857;Local comercial recién reformado en pleno distrito de Salamanca frente al IE. Cuenta con 234m2 útiles distribuidos en dos plantas: La p...
Local en calle de Lucio del Valle, Vallehermoso, Madrid;1.485.000;701;914 890 851;Inmobiliaria Eduardo Molet le ofrece este MAGNIFICO LOCAL según datos de catastro, tiene una superficie de 701 metros cuadrados distribui...
Local en calle del Príncipe de Vergara, 47, Castellana, Madrid;650.000;81;911 363 092;Única Inmobiliaria ofrece local de 81 m² en el barrio Salamanca, zona Castellana, muy cerca de la Plaza Marqués de Salamanca, con la próx...
Local en calle Ferrocarril, Madrid, 6, Palos de Moguer, Madrid;150.000;58;910 756 857;En plena Calle Ferrocarril. Altor Asesores pone a su disposición este magnífico local ideal como oficina, tienda y cualquier tipo de neg...
Local en calle de Alberto Aguilera, 15, Malasaña-Universidad, Madrid;1.850.000;410;916 358 417;SE VENDE LOCAL. Está ubicado en una de las calles más comerciales y transitadas de Madrid, con abundante paso de gente y de vehículos. El...
Local en calle Cardenal Vicente Enrique y Tarancón, Ensanche de Vallecas - La Gavia, Madrid;170.000;88;914 879 865;Se vende amplio local de nueva construcción (2016). El local es diáfano con 88 m2, salida de humos y posibilidad de grandes ventanales pa...
Local en calle de Francos Rodríguez, Bellas Vistas, Madrid;490.000;155;912 666 718;¡ATENCIÓN COMPRADORES-INVERSORES! EXCELENTE LOCAL CON BUENA RENTABILIDAD, EN TORNO AL 4.3 % Muy bien ubicado, en una de las calles más...
Local en calle Alonso del Barco, Palos de Moguer, Madrid;650.000;105;910 756 857;Restaurante equipado en un en clave privilegiado, Ronda de Valencia, junto al Teatro Circo Price, la Casa Encendida, a un minuto de la es...
Local en calle Gil de Santivañes, Madrid, 5, Recoletos, Madrid;615.000;129;914 878 126;Magnífico local con 129 m² construidos, totalmente reformados, con una altura de techos de 3,30m, y con entrada directa desde la calle o...
Local o nave en calle Paredes de Nava, Pueblo Nuevo, Madrid;169.000;82;915 903 398;Vivienda2 pone en venta este magnífico local de 76m2 útiles, en buen estado de conservación, muy luminoso, con todo el frontal prácticame...
Local o nave en calle Enrique Fuentes, Moscardó, Madrid;243.000;318;913 533 693;¡EXCELENTE OPORTUNIDAD PARA INVERSORES! Vivienda2 vende este magnífico LOCAL COMERCIAL EN RENTABILIDAD, ACTUALMENTE ALQUILADO, con una re...
Local en calle del Doctor Fleming, 23, Nueva España, Madrid;1.030.000;360;916 358 576;MYM PERSONAL ESTATE ofrece estupendo local comercial con grandes ventanales en un céntrico barrio de Madrid, ideal para cualquier tipo de...
Local en calle Andrés Torrejón, Pacífico, Madrid;750.000;380;914 333 806;JU AB1204 Estupendo local de mas de 350m² a pasos de la Estación de Atocha y del emblemático Parque del Buen Retiro, zona residencial y...
Local en Ibiza, Madrid;2.300.000;293;912 771 071;Larvia consultora especializada en comercializar inmuebles de lujo en las mejores zonas de Madrid, gestiona la venta de este exclusivo lo...
Local en calle del Olmo, Lavapiés-Embajadores, Madrid;63.000;81;911 921 007;REDPISO LAVAPIÉS - EMBAJADORES// Os presentamos almacén CON MUCHAS POSIBILIDADES en planta sótano de finca residencial. Consta de 81m² y...
Local en Valdebebas - Valdefuentes, Madrid;829.000;608;914 871 327;PRESENTAMOS ESTE INMUEBLE UBICADO EN LA ZONA DE AVENIDA DE LOS POBLADOS, EN HORTALEZA, Ref. 1479 - 001-01479, A DOS PASOS DE CAMPO DE LAS...
Local en calle de la Luna, Madrid, Malasaña-Universidad, Madrid;1.230.000;285;916 358 417;Encantador restaurante completamente ensamblado en funcionamiento con todas las licencias y completamente renovado, cuenta con salida de...
Local en calle Vicente Espinel, Pueblo Nuevo, Madrid;110.000;135;918 003 764;Local Comercial con entrada a pie de calle por Gómez de Avellaneda para actualizar, con una amplia sala diáfana, separación con zona de d...
Local en Lucero, Madrid;1.100.000;888;912 666 718;Fantástico local en venta, situado en el mismo Paseo de Extremadura. Antigua galería de alimentación, Ideal para supermercado. Se local...
Local en paseo Olivos, Puerta del Ángel, Madrid;229.000;226;912 666 718;Gran Local diáfano en paseo de los olivos, actualmente es una tienda multiusos. Sobre la zona y transporte: Puerta del Ángel es uno de...
Local en INFANTA MERCEDES, Cuzco-Castillejos, Madrid;1.200.000;356;910 755 813;Local en Infanta Mercedes Local comercial de 356 m2 construidos con licencia de hostelería. Recientemente reformado. Salida de humos. El...
Local en calle de Ayala, Goya, Madrid;375.000;125;910 751 768;Mavericks Consultoría Inmobiliaria comercializa con carácter de exclusiva este local en el barrio de Salamanca. Son dos escrituras, per...
Local en Portazgo, Madrid;76.050;67;918 266 110;Local en venta amplio y luminoso ideal para hacer VIVIENDA, que da a la calle Carlos Solé. Tiene 67 metros cuadrados construidos, sala, a...
Local en calle de Blasco de Garay, 72, Arapiles, Madrid;399.000;75;911 743 641;Retail vende magnífico local sito en la Calle Blasco de Garay, en el distrito de Chamberí. Zona comercial rodeada de comercios y con gran...
Local en calle Gutenberg, Pacífico, Madrid;189.000;89;911 793 672;RETIRO CAPITAL EXPANSIÓN S. A. Gran oportunidad de invertir, adquiriendo un Local en propiedad, para desarrollar su actividad empresaria...
Local en calle Anastasio Herrero, Cuatro Caminos, Madrid;104.000;54;911 310 636;¡ ATENCIÓN INVERSORES Y NUEVOS EMPRENDEDORES! ¡ FANTÁSTICO LOCAL CON POSIBILIDAD REAL PARA CAMBIO DE USO A VIVIENDA! UBICACIÓN INMEJORA...
Local en calle Olivo, Aravaca, Madrid;800.000;242;912 780 631;New Home Madrid comercializa en Venta / Alquiler el Mejor Local de Ocio y disfrute del Barrio de Aravaca - Madrid. Totalmente reformado...
Local en calle de Agastia, San Juan Bautista, Madrid;480.000;164;912 179 375;MR. HOUSE REAL ESTATE VENDE: Restaurante en zona Arturo Soria, muy próximo al edificio nuevo de la liga profesional de fútbol. Funcionan...
Local en reloj, Palacio, Madrid;350.000;94;915 344 831;***ESPECTACULAR LOCAL A PIE DE CALLE (ACTUALMENTE ESTUDIO DE GRABACIÓN) EN PLENO CORAZÓN DE MADRID ZONA PLAZA DE ESPAÑA. CON POSIBILIDAD...
Nave en calle de la Resina, 59, San Andrés, Madrid;159.900;250;912 669 149;Inmobiliaria Novogar ofrece en venta 50 naves a estrenar, desde 199.000€ + IVA, en PERFECTO estado y con un precio inmejorable. Situadas...
Local en calle de Seseña, Aluche, Madrid;350.000;330;916 355 361;GESPAIN VENDE: 2 locales comerciales unidos fantastica ubicacion junto al metro de campamento linea 5, rapido acceso A 5 direccion Madrid...
Local en calle Santa Engracia, Nuevos Ministerios-Ríos Rosas, Madrid;1.131.400;270;912 185 031;Oportunidad de local comercial exclusivo en Chamberí! Con ubicación en calle de Santa Engracia, gran zona comercial con altísimo tránsit...
Local en calle Cervantes, Huertas-Cortes, Madrid;900.000;350;911 743 641;Retail vende magnífico local comercial sito en la Calle Cervantes a pocos metros de la Calle del Prado. Zona muy comercial de Madrid con...
Local en calle de la Flor Baja, Palacio, Madrid;700.000;203;911 743 641;Retail vende magnífico local comercial sito en el distrito centro muy cercano a la Calle Gran Vía y la Calle Fuencarral. Zona turística d...
Nave en calle de Alfonso Gómez, 37, Simancas, Madrid;3.968.400;5.794;912 783 273;ALTTER VENDE: Activo Bancario. Nave industrial en venta ubicada en los bajos del edificio Surya Building en Madrid, dentro de las inmedia...
Local en paseo de la Virgen del Puerto, Imperial, Madrid;896.500;664;912 179 375;Mr House Real Estate VENDE! Local en Madrid, en el Paseo Virgen del Puerto. Se trata de 3 locales físicamente unidos, con dos plantas, p...
Local en Bernabéu-Hispanoamérica, Madrid;830.000;820;918 003 172;La Inmobiliaria Internacional CPM gestiona este magnífico y luminoso local de 820 M2, a pie de calle, con rampa de entrada de 76 m2, próx...
Local en calle de Francisco Silvela, 21, Lista, Madrid;2.778.000;1.104;912 182 336;VENTA. Situado en el Barrio Lista, perteneciente al distrito de Salamanca, en edificio denominado “Edificio Apolo”. Entorno Urbano altame...
Local en calle del Príncipe de Vergara, Madrid, Nueva España, Madrid;630.000;122;911 743 641;Retail vende magnífico local sito en el tramo más comercial de la calle del Príncipe de Vergara al lado de la plaza de la República Domin...
Local en calle del General Lacy, 13, Palos de Moguer, Madrid;215.000;110;916 352 716;TECNOCASA VENDE. - Local a pie de calle, esquina calle Áncora con calle General Lacy. Lugar con mucho paso de vehículos y personas a pie....
Local en Martínez de la Riva, San Diego, Madrid;165.000;405;911 793 672;RETIRO CAPITAL EXPANSIÓN S. A. Ofrece Local en bruto, a pie de calle, en importante zona comercial de Vallecas, donde fluye importante t...
Local en calle de Vallehermoso, 58, Arapiles, Madrid;603.000;185;910 149 625;Arty consultores vende, magnifico local en esquina calle Vallehermoso con Donoso Cortes, ultima actividad oficina bancaria, local muy vis...
Local en avenida DOCTOR GARCIA TAPIA, Marroquina, Madrid;285.000;74;912 469 050;Local destinado a hostelería en pleno funcionamiento. Tiene salida de humos, aire acondicionado así como todos los permisos para maquinas...
Local en paseo de las Delicias, 10, Palos de Moguer, Madrid;430.000;86;914 891 807;SALESMAN PROPERTY, vende magnífico local EN RENTABILIDAD, en el mejor tramo del Paseo de las Delicias, muy cerca de la glorieta Emperador...
Local en calle de Cartagena, Madrid, 26, Guindalera, Madrid;950.000;475;911 791 784;Local comercial en rentabilidad, este local de 475 m2 es perfecto para inversores ya que dispone de un contrato con una cadena de superme...
